credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
819,2022-07-01,1,P,43,185000,4.25,33400,P,360,0,,6,94.872,55.0,5,1,45-54,4162014,0,0
724,2022-12-01,1,P,30-<36,295000,4.5,75000,P,360,0,,6,95.0,119.0,5,1,25-34,3360627,0,0
810,2022-07-01,1,P,48,465000,4.875,91300,P,360,0,,6,69.925,90.0,5,1,25-34,4731151,0,0
807,2022-07-01,1,P,<20,85000,4.375,32300,R,120,0,,6,18.28,197.0,5,1,65-74,4080303,0,0
690,2022-08-01,1,P,30-<36,425000,4.625,78600,P,360,0,,6,96.499,188.0,3,1,45-54,1416328,0,0
724,2022-08-01,1,P,20-<30,195000,4.875,33500,R,360,0,,6,52.0,88.0,3,1,45-54,4317411,0,0
650,2022-10-01,1,P,41,245000,5.0,76500,P,360,0,,6,80.0,82.0,5,1,45-54,4113670,0,0
660,2022-08-01,1,P,38,135000,4.875,14800,P,360,0,,6,90.0,68.0,5,2,25-34,3342289,0,0
763,2022-07-01,2,P,45,1185000,4.5,11300,P,360,0,,6,75.0,264.0,2,2,25-34,4170647,0,0
781,2022-08-01,1,P,<20,135000,4.5,13000,P,180,0,,6,20.46,200.0,5,2,35-44,3375081,0,0
755,2022-07-01,1,P,49,325000,4.375,11700,P,360,0,,6,58.036,66.0,2,2,25-34,3095909,0,0
768,2022-07-01,1,P,39,365000,4.875,32800,P,360,0,,6,92.278,77.0,5,1,25-34,4422544,0,0
692,2022-07-01,1,P,38,475000,4.5,33400,P,360,0,,6,95.0,141.0,3,1,45-54,4170764,0,0
620,2022-07-01,1,P,<20,85000,6.125,33700,R,360,0,,6,43.59,72.0,5,2,45-54,2667321,0,0
718,2022-07-01,1,P,46,155000,4.25,32900,R,360,0,,6,32.29,41.0,5,2,55-64,3136570,0,0
738,2022-08-01,1,P,46,565000,4.875,91700,P,360,0,,6,80.0,10.0,2,1,35-44,4703240,0,0
775,2022-08-01,1,P,30-<36,405000,4.99,95200,P,360,0,,6,92.0,105.0,6,2,45-54,2011226,0,0
803,2022-07-01,1,P,20-<30,245000,4.25,12300,P,360,0,,6,80.0,104.0,5,1,25-34,3640003,0,0
795,2022-07-01,1,P,42,565000,4.5,77300,P,360,0,,6,95.0,212.0,5,1,25-34,3641376,0,0
759,2022-08-01,1,P,30-<36,455000,4.875,32700,P,360,0,,6,90.0,230.0,5,1,45-54,221948,0,0
774,2022-07-01,1,P,44,305000,4.99,34200,P,360,0,,6,96.999,80.0,5,2,35-44,4846038,0,0
787,2022-07-01,1,P,43,785000,4.75,92600,P,360,0,,6,78.0,171.0,5,2,25-34,1037541,0,0
796,2022-07-01,1,P,20-<30,105000,5.125,14000,R,180,0,,6,34.833,57.0,5,1,65-74,2666119,0,0
727,2022-07-01,1,P,20-<30,265000,4.875,93600,P,360,0,,6,63.095,97.0,5,1,55-64,1266318,0,0
796,2022-07-01,1,P,<20,535000,3.95,76200,P,360,0,,6,73.793,289.0,5,2,45-54,4846137,0,0
792,2022-07-01,1,P,40,235000,4.375,95700,P,360,0,,6,37.029,71.0,5,2,65-74,4134213,0,0
745,2022-07-01,1,P,46,855000,4.75,91300,P,360,0,,6,95.0,200.0,2,1,25-34,1039561,0,0
710,2022-07-01,1,P,30-<36,145000,4.99,75400,P,360,0,,6,95.0,85.0,5,2,35-44,1937768,0,0
726,2022-07-01,1,P,44,665000,5.625,93000,P,360,0,,6,95.0,174.0,6,2,25-34,3470792,0,0
747,2022-07-01,1,P,37,675000,5.5,95800,P,360,0,,6,95.0,343.0,5,2,25-34,1267982,0,0
716,2022-07-01,1,P,30-<36,355000,3.875,33000,R,360,0,,6,79.998,100.0,6,2,45-54,320601,0,0
794,2022-07-01,1,P,30-<36,585000,5.153,95600,P,360,0,,6,85.354,193.0,5,1,35-44,1266865,0,0
760,2022-07-01,1,P,36,225000,4.99,91100,P,360,0,,6,27.417,84.0,5,1,65-74,3260518,0,0
761,2022-07-01,1,P,38,355000,4.125,92100,R,360,0,,6,46.118,77.0,5,1,55-64,4723573,0,0
756,2022-07-01,1,P,37,155000,3.875,12300,P,360,0,,6,80.0,74.0,5,1,25-34,4516210,0,0
765,2022-07-01,1,P,42,185000,4.875,32100,R,360,0,,6,57.844,43.0,5,1,25-34,452487,0,0
708,2022-07-01,1,P,42,555000,4.75,95600,P,360,0,,6,89.993,176.0,5,1,25-34,2481619,0,0
727,2022-07-01,1,P,20-<30,475000,5.25,33000,P,360,0,,6,95.0,270.0,5,1,<25,2284027,0,0
725,2022-07-01,1,P,30-<36,295000,5.125,76000,P,360,0,,6,95.0,85.0,5,1,35-44,2563882,0,0
782,2022-10-01,1,P,30-<36,295000,5.125,76000,P,360,0,,6,95.0,85.0,5,1,35-44,2563882,0,0
789,2022-07-01,2,I,43,375000,6.0,95600,R,360,0,,6,75.0,450.0,6,1,35-44,1265539,0,0
729,2022-07-01,1,P,45,165000,5.5,32600,P,360,0,,6,80.0,44.0,6,2,35-44,2626267,0,0
755,2022-07-01,1,P,30-<36,275000,4.99,32900,P,360,0,,6,80.0,155.0,5,2,65-74,1357936,0,0
730,2022-07-01,1,P,41,485000,4.875,32700,P,360,0,,6,85.0,240.0,5,1,35-44,4093510,0,0
756,2022-07-01,1,P,49,915000,4.875,91300,R,360,0,,6,64.894,148.0,5,2,35-44,1266844,0,0
653,2022-07-01,1,P,20-<30,65000,4.625,33500,R,180,0,,6,19.757,57.0,5,2,65-74,2666781,0,0
765,2022-07-01,1,P,36,465000,3.875,95100,R,360,0,,6,46.538,149.0,2,1,65-74,1268020,0,0
763,2022-08-01,1,P,46,225000,5.625,32700,P,360,0,,6,90.0,44.0,5,2,65-74,3199595,0,0
793,2022-07-01,1,S,20-<30,265000,5.25,92200,P,360,0,,6,75.0,324.0,5,1,55-64,1979238,0,0
764,2022-07-01,1,P,43,315000,4.625,11700,P,360,0,,6,50.0,76.0,5,2,65-74,1001733,0,0
752,2022-07-01,1,P,49,675000,3.99,11200,P,360,0,,6,72.0,109.0,2,1,35-44,1005636,0,0
702,2022-08-01,1,P,20-<30,135000,5.25,76500,P,360,0,,6,75.0,454.0,5,2,45-54,3078972,0,0
809,2022-07-01,1,P,20-<30,195000,4.375,33500,P,180,0,,6,41.053,130.0,5,2,45-54,3641433,0,0
802,2022-07-01,1,S,20-<30,185000,5.375,75000,P,360,0,,6,31.62,103.0,5,1,45-54,1468684,0,0
717,2022-07-01,1,P,39,285000,4.05,75700,P,360,0,,6,95.0,71.0,5,1,35-44,2733746,0,0
749,2022-07-01,1,P,39,235000,5.375,77000,P,360,0,,6,100.0,62.0,6,1,55-64,248353,0,0
809,2022-07-01,1,P,20-<30,215000,4.75,32200,P,360,0,,6,75.0,72.0,5,1,25-34,1333910,0,0
691,2022-11-01,1,P,20-<30,215000,4.75,32200,P,360,0,,6,75.0,72.0,5,1,25-34,1333910,0,0
766,2022-07-01,1,P,20-<30,215000,4.99,76700,P,360,0,,6,95.0,90.0,5,1,<25,3079180,0,0
614,2022-07-01,1,P,37,375000,5.25,94500,P,360,0,,6,46.875,125.0,5,2,35-44,4170642,0,0
718,2022-07-01,1,P,20-<30,295000,3.5,95900,P,180,0,,6,90.769,136.0,6,2,45-54,233673,0,0
793,2022-07-01,1,P,49,945000,4.5,91400,P,360,0,,6,75.0,173.0,5,1,45-54,1269464,0,0
788,2022-07-01,1,P,30-<36,175000,3.369,34900,P,180,0,,6,28.926,221.0,5,1,55-64,1266741,0,0
774,2022-07-01,1,P,47,175000,3.75,78200,P,180,0,,6,48.611,101.0,6,1,55-64,1264197,0,0
769,2022-07-01,1,P,20-<30,345000,4.875,76100,P,360,0,,6,95.0,148.0,5,2,25-34,2775956,0,0
758,2022-07-01,1,P,49,815000,4.799,92700,P,360,0,,6,89.56,137.0,5,1,25-34,1267382,0,0
790,2022-07-01,1,P,45,395000,4.795,95600,P,360,0,,6,53.02,83.0,5,2,55-64,1266992,0,0
752,2022-07-01,1,P,48,465000,4.99,94500,P,360,0,,6,75.0,82.0,2,2,35-44,1956810,0,0
774,2022-07-01,1,P,38,365000,4.875,92100,P,360,0,,6,80.0,80.0,6,1,35-44,4845344,0,0
798,2022-07-01,1,P,49,225000,4.75,93400,P,360,0,,6,33.34,126.0,5,2,35-44,890547,0,0
697,2022-07-01,1,P,40,225000,6.158,14300,P,360,0,,6,73.77,76.0,5,1,35-44,1268312,0,0
755,2022-07-01,1,S,37,355000,5.25,33700,P,360,0,,6,52.206,165.0,5,1,35-44,4797306,0,0
782,2022-07-01,1,P,20-<30,365000,4.49,77400,P,360,0,,6,90.0,170.0,2,1,35-44,1045333,0,0
814,2022-07-01,1,P,30-<36,275000,4.875,95600,P,360,0,,6,52.381,85.0,5,2,55-64,1270888,0,0
717,2022-07-01,1,P,30-<36,575000,4.875,75200,P,360,0,,6,57.5,186.0,5,1,25-34,1269148,0,0
770,2022-07-01,1,P,20-<30,255000,5.185,33500,P,360,0,,6,67.105,103.0,5,2,65-74,1270564,0,0
682,2022-07-01,1,P,45,175000,3.75,78100,R,240,0,,6,49.211,76.0,5,2,55-64,981621,0,0
797,2022-07-01,4,I,<20,155000,3.5,91700,R,180,0,,6,14.09,68.0,6,1,65-74,3313573,0,0
704,2022-07-01,1,P,36,295000,4.999,32100,P,360,0,,6,80.0,95.0,5,1,65-74,1270649,0,0
776,2022-07-01,1,I,20-<30,285000,4.8,33000,P,360,0,,6,47.579,96.0,5,1,25-34,1266766,0,0
712,2022-07-01,1,P,44,365000,6.0,92200,P,360,0,,6,90.148,168.0,6,1,35-44,4185546,0,0
771,2022-07-01,1,P,<20,85000,5.125,77500,P,180,0,,6,26.154,175.0,5,2,55-64,4845638,0,0
785,2022-07-01,1,P,39,675000,4.875,95800,P,360,0,,6,80.0,228.0,2,1,45-54,2021488,0,0
711,2022-07-01,1,P,37,85000,5.125,13000,P,360,0,,6,95.0,57.0,5,1,<25,4520984,0,0
701,2022-07-01,1,P,20-<30,275000,4.375,91700,R,360,0,,6,50.0,103.0,3,2,25-34,2048526,0,0
792,2022-07-01,1,P,47,855000,5.375,91300,P,360,0,,6,77.4546,160.0,2,1,35-44,831130,0,0
812,2022-07-01,1,P,46,605000,4.875,91700,P,360,0,,6,80.0,124.0,6,1,35-44,838511,0,0
812,2022-07-01,1,P,39,375000,4.875,92000,P,360,0,,6,26.978,111.0,6,1,65-74,1267308,0,0
682,2022-07-01,1,P,36,495000,4.125,96000,P,360,0,,6,86.842,323.0,5,1,35-44,1267616,0,0
768,2022-07-01,1,P,41,455000,4.5,92600,R,360,0,,6,36.418,108.0,5,1,35-44,1271181,0,0
647,2022-07-01,1,P,30-<36,495000,5.625,33100,P,360,0,,6,80.0,230.0,6,2,25-34,33446,0,0
657,2022-07-01,1,P,20-<30,55000,4.99,34400,P,360,0,,6,24.229,65.0,5,1,65-74,2733607,0,0
704,2022-07-01,1,P,30-<36,525000,5.25,93000,P,360,0,,6,95.0,180.0,6,2,35-44,1268501,0,0
725,2022-07-01,1,P,20-<30,375000,4.875,33300,P,360,0,,6,73.529,180.0,6,2,45-54,232746,0,0
749,2022-07-01,1,P,20-<30,475000,5.375,95800,P,360,0,,6,95.0,150.0,5,1,25-34,1268512,0,0
659,2022-07-01,1,P,41,295000,5.125,77000,P,360,0,,6,71.107,91.0,2,2,45-54,1269827,0,0
624,2022-07-01,1,P,42,345000,5.25,95200,P,360,0,,6,70.408,80.0,6,1,25-34,1267510,0,0
655,2022-07-01,1,P,30-<36,295000,4.875,76000,R,360,0,,6,69.97,218.0,5,2,25-34,305448,0,0
762,2022-07-01,1,P,30-<36,115000,4.25,95900,R,360,0,,6,37.34,30.0,1,1,55-64,686264,0,0
778,2022-07-01,1,P,<20,175000,5.124,32900,P,360,0,,6,25.473,160.0,5,2,35-44,4093888,0,0
785,2022-07-01,1,P,30-<36,315000,4.5,32800,P,360,0,,6,53.39,89.0,5,1,45-54,4093644,0,0
782,2022-07-01,1,P,30-<36,765000,5.25,92700,P,360,0,,6,90.0,220.0,2,1,25-34,1676331,0,0
744,2022-07-01,1,P,46,245000,3.625,14200,P,360,0,,6,90.0,125.0,3,1,35-44,4797044,0,0
803,2022-07-01,1,P,30-<36,305000,5.25,33600,P,360,0,,6,50.083,125.0,5,1,35-44,1347358,0,0
669,2022-07-01,1,P,41,155000,5.262,32100,P,360,0,,6,56.364,39.0,5,2,45-54,1268596,0,0
733,2022-07-01,1,P,40,295000,4.99,34200,P,360,0,,6,95.0,96.0,2,1,35-44,4170859,0,0
726,2022-07-01,1,P,42,435000,4.875,92800,P,360,0,,6,60.0,122.0,5,1,65-74,1271205,0,0
686,2022-07-01,1,P,38,185000,4.99,78000,P,360,0,,6,34.58,61.0,6,1,45-54,886798,0,0
710,2022-07-01,1,P,44,545000,3.75,90700,P,360,0,,6,72.97,183.0,2,2,<25,3127343,0,0
783,2022-07-01,1,P,20-<30,275000,4.375,33900,P,360,0,,6,,86.0,5,1,55-64,344688,0,0
768,2022-07-01,1,P,42,135000,5.625,77000,P,360,0,,6,68.42,260.0,5,2,35-44,1470807,0,0
743,2022-07-01,1,I,30-<36,255000,4.875,33000,P,360,0,,6,35.915,269.0,5,1,45-54,4845634,0,0
671,2022-07-01,1,P,20-<30,195000,4.99,78100,P,360,0,,6,56.223,88.0,5,2,65-74,3841242,0,0
714,2022-07-01,1,P,43,465000,4.875,92000,P,360,0,,6,95.0,116.0,6,1,25-34,3202592,0,0
626,2022-07-01,1,S,30-<36,115000,4.99,34900,R,360,0,,6,54.233,71.0,5,1,45-54,2838518,0,0
796,2022-07-01,1,P,49,425000,3.5,11700,P,180,0,,6,68.0,113.0,5,1,25-34,1269696,0,0
746,2022-07-01,1,I,20-<30,165000,5.875,77000,R,360,0,,6,63.333,247.0,6,1,35-44,3761188,0,0
753,2022-08-01,1,I,20-<30,165000,5.875,77000,R,360,0,,6,63.333,247.0,6,1,35-44,3761188,0,0
769,2022-07-01,1,I,30-<36,235000,5.25,33400,P,360,0,,6,80.0,200.0,6,1,55-64,1269692,0,0
798,2022-07-01,1,I,<20,245000,5.25,93600,P,360,0,,6,70.932,137.0,6,1,55-64,1267607,0,0
813,2022-07-01,1,P,<20,515000,3.061,33900,R,240,0,,6,48.585,338.0,5,1,35-44,1624089,0,0
803,2022-07-01,1,P,<20,195000,4.959,33400,P,360,0,,6,75.0,168.0,5,1,45-54,1626551,0,0
804,2022-07-01,1,P,42,585000,4.875,75000,P,360,0,,6,62.567,145.0,5,1,25-34,314168,0,0
706,2022-07-01,1,P,48,235000,5.375,33900,P,360,0,,6,83.333,45.0,6,1,45-54,3630445,0,0
730,2022-07-01,1,P,20-<30,215000,4.875,12900,P,360,0,,6,90.0,131.0,5,2,35-44,4846937,0,0
786,2022-07-01,1,P,20-<30,595000,5.375,94600,P,360,0,,6,70.0,233.0,5,2,25-34,3471068,0,0
784,2022-07-01,1,P,20-<30,445000,4.875,95000,R,360,0,,6,23.957,216.0,2,1,55-64,4430255,0,0
660,2022-07-01,1,P,44,635000,4.875,33500,P,360,0,,6,100.0,137.0,6,1,35-44,1813787,0,0
809,2022-07-01,1,I,39,465000,4.875,33000,P,360,0,,6,75.0,221.0,5,1,35-44,1270052,0,0
804,2022-07-01,1,P,<20,125000,4.91,32500,P,360,0,,6,71.429,73.0,5,2,35-44,1270585,0,0
736,2022-07-01,1,P,49,125000,4.375,92200,P,360,0,,6,45.45,25.0,6,1,65-74,3313718,0,0
747,2022-07-01,1,I,43,275000,5.5,33400,P,360,0,,6,75.0,413.0,5,1,25-34,4857164,0,0
703,2022-07-01,1,P,20-<30,435000,5.125,33100,P,360,0,,6,75.0,297.0,5,1,45-54,1270671,0,0
808,2022-07-01,1,P,30-<36,335000,5.299,90600,P,360,0,,6,62.617,202.0,5,1,45-54,1271341,0,0
685,2022-07-01,1,P,48,305000,4.125,78700,R,360,0,,6,53.087,93.0,5,1,25-34,1677915,0,0
770,2022-07-01,1,P,20-<30,335000,3.99,32900,P,360,0,,6,95.0,130.0,3,2,25-34,3854945,0,0
692,2022-07-01,1,P,<20,415000,4.99,33500,P,360,0,,6,58.0,320.0,6,1,25-34,4309121,0,0
793,2022-07-01,1,P,20-<30,495000,4.875,32000,P,360,0,,6,70.21,145.0,5,2,25-34,2985097,0,0
812,2022-07-01,1,S,20-<30,125000,5.375,33300,P,360,0,,6,70.0,94.0,5,1,>74,2650279,0,0
808,2022-07-01,1,P,20-<30,365000,5.25,95800,P,360,0,,6,95.0,109.0,6,1,25-34,3494788,0,0
743,2022-07-01,1,I,20-<30,375000,5.5,10900,P,360,0,,6,67.568,100.0,5,1,25-34,3075146,0,0
805,2022-07-01,1,P,49,605000,3.99,33500,P,360,0,,6,80.0,145.0,2,1,35-44,4145842,0,0
689,2022-07-01,1,P,40,385000,5.625,78100,P,360,0,,6,80.0,110.0,2,1,35-44,4121226,0,0
643,2022-07-01,1,P,20-<30,225000,4.25,33900,P,360,0,,6,60.0,137.0,5,1,25-34,4121161,0,0
786,2022-07-01,1,P,20-<30,275000,3.99,32200,P,360,0,,6,59.14,89.0,5,2,35-44,4115889,0,0
802,2022-07-01,1,P,30-<36,515000,4.875,75200,P,360,0,,6,56.285,150.0,5,2,35-44,3574669,0,0
690,2022-07-01,1,P,44,435000,5.0,77000,P,360,0,,6,87.349,110.0,1,1,35-44,2713393,0,0
714,2022-07-01,1,P,40,315000,5.5,33400,P,360,0,,6,90.0,76.0,6,1,55-64,4223849,0,0
760,2022-07-01,1,P,20-<30,285000,4.0,12100,P,360,0,,6,80.0,99.0,5,2,55-64,4519012,0,0
789,2022-07-01,1,P,49,225000,3.75,34700,P,180,0,,6,35.96,80.0,5,2,45-54,1811523,0,0
806,2022-07-01,1,P,20-<30,225000,4.75,79400,P,360,0,,6,95.0,692.0,5,2,<25,2892343,0,0
808,2022-07-01,1,P,49,435000,5.25,95400,P,360,0,,6,91.579,94.0,5,2,45-54,4846661,0,0
718,2022-07-01,1,P,43,295000,5.25,32100,P,360,0,,6,80.0,73.0,5,2,45-54,760447,0,0
757,2022-07-01,1,P,41,375000,4.875,78500,P,360,0,,6,95.0,155.0,5,1,25-34,452198,0,0
763,2022-07-01,1,P,43,135000,4.5,14600,P,360,0,,6,95.0,43.0,5,2,25-34,1484553,0,0
778,2022-07-01,1,P,30-<36,645000,4.375,78700,P,360,0,,6,90.0,217.0,5,2,25-34,4694850,0,0
765,2022-07-01,1,P,49,275000,4.75,93300,P,360,0,,6,94.91,51.0,6,1,35-44,2173749,0,0
687,2022-07-01,1,P,41,555000,4.375,91000,P,360,0,,6,64.912,134.0,6,1,35-44,3473075,0,0
671,2022-07-01,1,P,30-<36,315000,3.99,10300,P,360,0,,6,65.02,112.0,5,1,45-54,1942847,0,0
791,2022-07-01,1,P,39,95000,4.5,32500,P,360,0,,6,95.0,39.0,5,2,65-74,1944683,0,0
679,2022-07-01,1,P,49,75000,4.75,33000,P,360,0,,6,41.0,26.0,6,1,55-64,2011368,0,0
736,2022-07-01,1,P,37,455000,5.625,33900,P,360,0,,6,80.0,210.0,5,2,45-54,2592017,0,0
795,2022-07-01,2,P,46,765000,4.625,91900,P,360,1,2023-01-01,6,85.0,310.0,6,2,35-44,4170899,1,1
731,2022-07-01,1,I,30-<36,285000,4.625,76500,P,180,0,,6,75.0,217.0,2,1,25-34,998803,0,0
747,2022-07-01,1,P,30-<36,285000,5.25,32200,P,360,0,,6,95.0,90.0,5,2,25-34,3691651,0,0
785,2022-08-01,1,P,30-<36,285000,5.25,32200,P,360,0,,6,95.0,90.0,5,2,25-34,3691651,0,0
777,2022-07-01,1,P,39,425000,4.375,77400,P,360,0,,6,80.0,177.0,5,2,25-34,2530113,0,0
792,2022-07-01,1,I,37,165000,5.179,78200,R,360,0,,6,75.0,140.0,5,1,35-44,141553,0,0
759,2022-07-01,1,P,30-<36,295000,5.075,95700,P,360,0,,6,51.304,134.0,5,1,45-54,2641058,0,0
755,2022-07-01,1,P,20-<30,305000,5.375,95900,P,360,0,,6,73.494,107.0,5,2,55-64,3576014,0,0
770,2022-07-01,1,P,38,175000,4.999,77000,R,360,0,,6,68.78,61.0,3,2,35-44,2978752,0,0
814,2022-07-01,1,P,45,345000,4.625,34100,P,360,0,,6,60.0,86.0,3,1,55-64,4151245,0,0
772,2022-07-01,1,P,43,545000,4.25,12100,P,360,0,,6,90.0,168.0,5,1,25-34,1162948,0,0
772,2022-07-01,1,P,30-<36,285000,5.25,75700,P,360,0,,6,95.0,283.0,5,2,55-64,3352147,0,0
766,2022-07-01,1,P,45,315000,4.875,95800,P,360,0,,6,95.0,62.0,6,1,45-54,1766515,0,0
806,2022-07-01,1,P,20-<30,245000,4.875,92600,P,360,0,,6,16.118,118.0,5,2,45-54,2592503,0,0
790,2022-07-01,1,P,43,465000,4.5,32800,P,360,0,,6,80.0,97.0,5,1,35-44,1256675,0,0
776,2022-07-01,1,P,30-<36,255000,5.625,75100,P,360,0,,6,90.0,79.0,6,2,25-34,3043405,0,0
693,2022-07-01,1,P,<20,225000,4.875,33800,P,360,0,,6,56.25,101.0,5,1,55-64,2533330,0,0
757,2022-07-01,4,I,20-<30,225000,5.5,14200,P,360,0,,6,75.0,88.0,5,1,25-34,4797346,0,0
684,2022-07-01,1,P,20-<30,185000,5.25,77500,P,360,0,,6,95.0,97.0,6,1,25-34,2160013,0,0
803,2022-07-01,1,P,20-<30,215000,4.125,14500,R,360,0,,6,55.128,98.0,5,2,45-54,27220,0,0
771,2022-07-01,1,P,<20,175000,4.5,13300,P,360,0,,6,97.0,113.0,5,2,35-44,2298977,0,0
811,2022-07-01,1,P,30-<36,475000,4.125,92800,P,180,0,,6,70.37,156.0,2,1,45-54,2060572,0,0
706,2022-07-01,1,I,20-<30,365000,6.0,95300,P,360,0,,6,79.0,468.0,3,2,45-54,1048359,0,0
798,2022-07-01,1,P,<20,625000,4.99,32900,P,360,0,,6,94.0,285.0,5,2,25-34,1066115,0,0
