credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
805,2022-01-01,1,P,20-<30,155000,2.875,13800,P,360,0,,5,60.0,93.0,5,1,35-44,2503631,0,0
690,2022-01-01,1,P,30-<36,155000,3.25,33000,R,360,0,,5,43.0,78.0,6,1,35-44,1053042,0,0
801,2022-01-01,1,P,30-<36,205000,3.125,32000,P,360,0,,5,72.49,66.0,5,1,55-64,3870762,0,0
743,2022-01-01,1,P,43,275000,3.25,77400,P,360,0,,5,95.0,77.0,6,2,35-44,1246337,0,0
696,2022-01-01,1,P,43,275000,3.25,77400,P,360,0,,5,95.0,77.0,6,2,35-44,1246337,0,0
726,2022-01-01,1,P,30-<36,455000,2.625,75000,P,180,0,,5,80.0,158.0,2,1,45-54,2367179,0,0
682,2022-01-01,1,P,30-<36,445000,3.625,94500,R,360,0,,5,72.239,145.0,5,1,45-54,4833999,0,0
707,2022-01-01,1,P,30-<36,275000,3.125,33100,R,360,0,,5,67.75,63.0,5,1,35-44,1204280,0,0
700,2022-01-01,1,P,44,315000,3.25,33000,R,360,0,,5,,73.0,5,1,35-44,1865493,0,0
812,2022-01-01,1,P,30-<36,215000,3.25,34200,P,360,0,,5,62.319,80.0,5,1,65-74,3077015,0,0
746,2022-03-01,1,P,30-<36,215000,3.25,34200,P,360,0,,5,62.319,80.0,5,1,65-74,3077015,0,0
743,2022-01-01,1,P,30-<36,495000,3.125,92000,R,360,0,,5,75.385,156.0,5,1,35-44,4563523,0,0
807,2022-01-01,1,P,20-<30,125000,3.75,75000,P,360,0,,5,28.0,32.0,2,1,55-64,1005914,0,0
721,2022-01-01,1,P,20-<30,235000,3.25,77500,P,360,0,,5,95.0,116.0,6,1,25-34,1425107,0,0
809,2022-01-01,1,P,30-<36,125000,2.375,34600,R,180,0,,5,63.333,48.0,5,2,55-64,2233200,0,0
802,2022-01-01,1,P,30-<36,495000,2.625,10500,R,360,0,,5,64.95,366.0,5,1,55-64,4819228,0,0
