credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year,six_month_interval_label
778,2020-04-01,1,P,30-<36,155000,3.75,12800,R,360,0,,77.333,57.0,5,2,35-44,1181081,0,0,1
776,2020-04-01,1,P,20-<30,275000,3.5,92000,R,180,0,,57.0,205.0,5,1,55-64,2929614,0,0,1
730,2020-03-01,1,P,30-<36,235000,3.75,12800,P,360,0,,92.0,71.0,5,1,45-54,3537530,0,0,1
771,2020-03-01,1,S,30-<36,275000,3.75,32100,P,360,0,,65.0,145.0,5,2,45-54,7045982,0,0,1
775,2020-03-01,1,P,30-<36,205000,3.75,75000,P,360,0,,96.5,116.0,6,2,35-44,1336954,0,0,1
778,2020-03-01,1,P,49,345000,3.75,32900,P,360,0,,96.5,99.0,3,2,45-54,6552766,0,0,1
790,2020-03-01,1,P,43,125000,3.875,33900,P,360,0,,80.0,44.0,6,1,35-44,958932,0,0,1
791,2020-03-01,1,P,43,125000,3.875,33900,P,360,0,,80.0,44.0,6,1,35-44,958932,0,0,1
794,2020-04-01,1,P,43,125000,3.875,33900,P,360,0,,80.0,44.0,6,1,35-44,958932,0,0,1
708,2020-03-01,1,P,20-<30,475000,3.75,32800,P,360,0,,95.0,202.0,3,2,35-44,7503077,0,0,1
773,2020-03-01,1,P,30-<36,345000,3.375,78700,R,360,0,,68.475,178.0,3,1,35-44,6666252,0,0,1
723,2020-03-01,1,P,30-<36,295000,3.875,76100,P,360,0,,70.414,172.0,5,1,45-54,4035079,0,0,1
753,2020-03-01,1,I,30-<36,165000,4.5,75000,R,360,0,,75.0,197.0,6,1,35-44,3586459,0,0,1
797,2020-03-01,1,P,49,275000,3.75,33000,P,360,0,,98.8,52.0,5,1,25-34,5253781,0,0,1
810,2020-03-01,1,P,20-<30,95000,3.75,33000,P,360,0,,75.0,67.0,5,2,>74,4753775,0,0,1
760,2020-03-01,1,P,44,325000,3.875,33900,P,360,0,,89.9,73.0,6,1,35-44,685053,0,0,1
774,2020-03-01,1,P,48,255000,3.75,33000,P,360,0,,96.5,51.0,6,2,<25,6438998,0,0,1
661,2020-03-01,1,P,30-<36,375000,4.125,95600,R,360,0,,69.47,233.0,5,2,45-54,7760277,0,0,1
790,2020-03-01,1,P,20-<30,195000,3.625,95400,R,360,0,,59.354,127.0,5,2,35-44,4027208,0,0,1
748,2020-03-01,1,P,44,275000,3.875,32800,P,360,0,,100.0,50.0,5,1,25-34,5280097,0,0,1
762,2020-03-01,1,P,30-<36,305000,3.75,95600,R,360,0,,68.422,135.0,5,1,45-54,6653462,0,0,1
773,2020-03-01,1,P,20-<30,185000,3.75,14000,P,360,0,,80.0,98.0,5,1,25-34,1002058,0,0,1
782,2020-03-01,1,P,30-<36,375000,3.0,95100,R,180,0,,22.77,130.0,2,2,>74,5713555,0,0,1
779,2020-03-01,1,P,48,495000,3.375,92000,P,360,0,,80.0,88.0,5,1,25-34,5558399,0,0,1
813,2020-03-01,1,P,20-<30,225000,3.75,34900,P,360,0,,80.0,160.0,6,1,25-34,3985755,0,0,1
729,2020-03-01,1,P,20-<30,175000,4.0,78200,P,360,1,2020-12-01,94.96,76.0,6,2,25-34,6307763,0,1,1
726,2020-03-01,1,P,40,255000,3.875,78200,P,360,0,,80.0,78.0,6,1,35-44,6134219,0,0,1
778,2020-03-01,1,P,37,325000,3.875,92300,R,360,0,,80.0,146.0,5,1,45-54,8060161,0,0,1
778,2020-04-01,1,P,30-<36,155000,3.0,33100,R,180,0,,56.95,137.0,6,2,55-64,4644660,0,0,1
790,2020-03-01,1,P,30-<36,595000,3.375,91900,R,360,0,,80.0,276.0,5,1,45-54,7303470,0,0,1
729,2020-03-01,1,P,43,345000,3.375,92800,R,360,0,,79.043,81.0,6,2,25-34,4300472,0,0,1
803,2020-03-01,1,P,40,195000,3.875,77400,P,360,0,,85.47,81.0,6,1,45-54,5250676,0,0,1
782,2020-03-01,1,P,20-<30,195000,3.375,32000,R,180,0,,80.0,135.0,5,2,65-74,6938002,0,0,1
746,2020-03-01,1,P,30-<36,395000,4.125,95700,R,360,0,,78.8,112.0,5,2,25-34,4329590,0,0,1
776,2020-03-01,1,P,<20,375000,3.25,92100,R,240,0,,39.632,257.0,5,1,55-64,5454585,0,0,1
711,2020-03-01,1,P,30-<36,505000,3.75,75000,P,360,0,,89.999,137.0,2,1,35-44,5744230,0,0,1
750,2020-03-01,1,P,39,195000,4.375,33100,P,360,1,2020-06-01,73.8,111.0,6,1,45-54,6280985,1,1,1
671,2020-03-01,1,P,30-<36,375000,3.875,33100,P,360,1,2020-07-01,96.5,125.0,6,1,45-54,1843729,1,1,1
727,2020-03-01,1,P,20-<30,195000,3.875,75100,P,360,0,,103.098,78.0,6,2,35-44,5247835,0,0,1
711,2020-03-01,1,P,30-<36,285000,3.875,34700,P,360,1,2020-08-01,90.0,93.0,6,2,45-54,6806401,1,1,1
737,2020-03-01,1,P,30-<36,295000,3.875,34900,P,360,0,,84.471,120.0,5,2,<25,19089,0,0,1
680,2020-03-01,1,P,37,385000,3.75,33000,P,360,0,,95.0,254.0,6,1,45-54,5824142,0,0,1
774,2020-03-01,1,I,45,105000,3.75,34600,P,360,0,,75.0,40.0,5,1,55-64,2217965,0,0,1
784,2020-03-01,1,P,20-<30,365000,3.25,91000,R,360,0,,56.2,115.0,4,1,55-64,4264521,0,0,1
783,2020-03-01,1,P,20-<30,105000,3.875,34400,P,360,0,,95.0,55.0,5,1,35-44,104912,0,0,1
813,2020-03-01,1,P,49,185000,3.25,92100,R,360,0,,36.225,78.0,5,2,65-74,4534912,0,0,1
811,2020-04-01,1,P,49,185000,3.25,92100,R,360,0,,36.225,78.0,5,2,65-74,4534912,0,0,1
731,2020-03-01,1,P,30-<36,195000,4.0,77400,P,360,0,,101.409,52.0,6,1,25-34,1944990,0,0,1
