credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
797,2021-09-01,1,P,39,315000,3.375,32000,R,360,0,,4,68.97,124.0,5,2,35-44,2280572,0,0
771,2021-09-01,1,P,30-<36,295000,3.625,32000,R,360,0,,4,78.378,82.0,5,2,45-54,6938422,0,0
715,2021-08-01,1,P,<20,75000,3.5,34400,R,360,0,,4,73.03,35.0,5,2,>74,2275493,0,0
759,2021-07-01,1,P,30-<36,375000,3.25,14000,P,360,0,,4,89.88,164.0,5,1,35-44,128744,0,0
809,2021-09-01,1,P,43,205000,3.25,33800,R,360,0,,4,72.028,97.0,5,2,45-54,5306215,0,0
776,2021-11-01,1,P,20-<30,345000,2.5,91700,R,180,0,,4,36.316,237.0,2,2,45-54,4053478,0,0
771,2021-10-01,1,P,39,95000,2.875,32200,R,360,0,,4,58.6,88.0,5,2,35-44,2374359,0,0
746,2021-09-01,1,P,43,235000,3.375,33300,R,360,0,,4,60.5,69.0,5,1,35-44,7757376,0,0
804,2021-08-01,1,P,30-<36,315000,2.875,10500,R,240,0,,4,59.03,85.0,5,1,55-64,2137862,0,0
702,2021-11-01,1,P,47,325000,2.875,11700,P,360,0,,4,69.892,69.0,6,2,35-44,7987506,0,0
788,2021-08-01,1,P,30-<36,765000,3.375,90000,P,360,0,,4,80.0,299.0,2,2,35-44,944513,0,0
761,2021-12-01,1,P,20-<30,215000,2.5,77300,R,180,0,,4,53.532,156.0,5,1,35-44,2111109,0,0
801,2021-08-01,1,P,20-<30,675000,2.99,94900,P,360,0,,4,90.0,227.0,5,1,35-44,1936496,0,0
756,2021-09-01,1,P,36,175000,3.5,76100,P,360,0,,4,101.85,43.0,5,2,65-74,6382050,0,0
713,2021-09-01,1,P,30-<36,235000,3.25,95200,R,360,0,,4,60.0,123.0,5,2,65-74,8054462,0,0
674,2021-11-01,1,P,43,495000,2.75,91900,R,360,0,,4,68.613,90.0,6,1,45-54,7410945,0,0
784,2021-07-01,1,P,36,485000,2.5,92600,R,240,0,,4,57.03,114.0,2,1,25-34,7775867,0,0
748,2021-07-01,1,P,<20,405000,2.875,91700,R,360,0,,4,53.93,250.0,5,1,45-54,2272892,0,0
748,2021-07-01,1,P,44,645000,3.25,91200,R,360,0,,4,64.82,155.0,5,2,55-64,522876,0,0
786,2021-07-01,1,P,43,275000,2.75,34700,P,360,0,,4,80.0,69.0,5,1,<25,7037421,0,0
630,2021-12-01,1,P,39,295000,2.99,91300,R,360,0,,4,38.065,58.0,5,2,55-64,3328926,0,0
769,2021-11-01,1,P,41,245000,2.75,33400,R,360,0,,4,72.3,69.0,2,2,45-54,4768382,0,0
793,2021-11-01,1,P,44,275000,2.875,93300,P,360,0,,4,97.0,46.0,6,1,25-34,2246987,0,0
734,2021-12-01,1,P,<20,305000,2.5,95700,R,360,0,,4,38.221,293.0,5,1,45-54,7506835,0,0
772,2021-07-01,1,P,48,235000,2.875,92300,R,360,0,,4,53.4,59.0,6,2,45-54,2322266,0,0
760,2021-08-01,1,P,49,415000,3.25,92800,R,360,0,,4,86.47,83.0,6,1,25-34,2625479,0,0
756,2021-11-01,1,P,43,165000,2.75,33900,R,360,0,,4,51.692,57.0,5,1,>74,3681912,0,0
774,2021-07-01,1,P,30-<36,125000,3.25,93600,R,360,0,,4,54.783,33.0,6,1,35-44,157819,0,0
728,2021-10-01,1,P,49,125000,2.99,33400,R,360,0,,4,58.53,35.0,5,1,>74,2366923,0,0
800,2021-07-01,1,P,36,275000,2.875,93400,R,360,0,,4,79.797,57.0,5,2,35-44,350120,0,0
814,2021-12-01,1,P,45,355000,2.875,10900,P,360,0,,4,95.0,144.0,6,1,35-44,3862434,0,0
746,2021-08-01,1,P,40,315000,2.875,77400,R,360,0,,4,86.959,105.0,3,2,45-54,1532596,0,0
709,2021-10-01,1,P,40,315000,2.875,77400,R,360,0,,4,86.959,105.0,3,2,45-54,1532596,0,0
776,2021-12-01,1,P,40,235000,3.25,33400,R,360,0,,4,86.0,68.0,5,2,45-54,2959466,0,0
707,2021-11-01,1,P,30-<36,245000,2.75,33000,R,360,0,,4,86.913,80.0,6,1,35-44,3371392,0,0
664,2021-11-01,1,P,44,165000,3.375,34200,R,360,0,,4,58.929,30.0,5,2,>74,3829002,0,0
667,2021-07-01,1,P,20-<30,215000,3.375,95600,R,360,0,,4,58.778,66.0,5,1,>74,4151876,0,0
623,2021-11-01,1,P,<20,225000,2.99,95800,R,360,0,,4,34.469,111.0,5,1,45-54,7933886,0,0
809,2021-08-01,1,P,42,255000,2.875,95300,R,360,0,,4,66.154,90.0,5,1,55-64,147803,0,0
726,2021-09-01,1,P,42,255000,2.875,95300,R,360,0,,4,66.154,90.0,5,1,55-64,147803,0,0
735,2021-07-01,1,P,44,335000,2.75,92800,R,360,0,,4,58.309,73.0,5,1,55-64,7326582,0,0
752,2021-07-01,1,P,20-<30,465000,2.99,95400,R,360,0,,4,52.225,253.0,5,1,65-74,4731797,0,0
792,2021-10-01,1,P,47,345000,2.99,91900,R,360,0,,4,49.286,185.0,4,1,35-44,1354321,0,0
680,2021-08-01,1,P,30-<36,415000,3.375,91700,R,360,0,,4,69.492,169.0,5,2,45-54,1892379,0,0
793,2021-09-01,1,P,45,705000,2.75,94900,R,360,0,,4,39.07,130.0,5,1,35-44,2462424,0,0
784,2021-09-01,1,P,20-<30,405000,3.25,91300,R,360,0,,4,59.701,85.0,5,1,65-74,1819639,0,0
793,2021-12-01,1,P,48,325000,2.875,92800,R,360,0,,4,60.944,72.0,2,2,45-54,763741,0,0
799,2021-11-01,1,P,30-<36,375000,2.25,34100,R,180,0,,4,32.609,371.0,5,2,45-54,6776870,0,0
676,2021-09-01,1,P,30-<36,325000,3.5,92800,R,360,0,,4,78.789,129.0,3,2,35-44,7406591,0,0
710,2021-11-01,1,P,20-<30,105000,2.625,77300,R,240,0,,4,28.98,79.0,5,2,55-64,2151460,0,0
725,2021-10-01,1,P,30-<36,365000,2.875,33300,R,360,0,,4,75.0,89.0,5,2,55-64,3934494,0,0
786,2021-08-01,1,P,43,175000,3.125,33700,R,360,0,,4,76.426,49.0,2,1,25-34,3804083,0,0
629,2021-08-01,1,P,20-<30,255000,3.5,95800,R,360,0,,4,67.174,103.0,5,1,35-44,3880711,0,0
777,2021-10-01,1,P,47,225000,3.0,78600,R,360,0,,4,53.852,42.0,5,1,35-44,6323961,0,0
781,2021-11-01,1,P,37,185000,3.125,76000,R,360,0,,4,89.578,45.0,6,1,25-34,7032786,0,0
766,2021-07-01,1,P,44,375000,3.125,94500,R,360,0,,4,57.23077,74.0,2,1,65-74,760221,0,0
678,2021-10-01,1,P,42,285000,2.875,93600,R,360,0,,4,69.37,78.0,6,1,25-34,6021826,0,0
730,2021-11-01,1,P,30-<36,335000,2.99,33600,R,360,0,,4,79.643,121.0,5,1,35-44,3717911,0,0
749,2021-11-01,1,P,20-<30,565000,3.5,94500,R,360,0,,4,81.343,253.0,5,1,45-54,1376852,0,0
782,2021-10-01,1,P,<20,285000,2.625,77000,P,360,0,,4,80.0,134.0,5,2,55-64,4319275,0,0
733,2021-07-01,1,P,47,495000,2.99,91400,R,360,0,,4,60.0,71.0,5,1,25-34,8110051,0,0
734,2021-08-01,1,P,47,495000,2.99,91400,R,360,0,,4,60.0,71.0,5,1,25-34,8110051,0,0
670,2021-08-01,1,P,20-<30,345000,3.5,92800,R,360,0,,4,66.99,115.0,5,2,25-34,4041624,0,0
778,2021-11-01,1,P,49,545000,2.625,92000,P,360,0,,4,72.667,74.0,5,2,25-34,7478839,0,0
654,2021-10-01,1,P,30-<36,155000,2.75,93500,R,360,0,,4,30.98,83.0,5,1,55-64,6355137,0,0
666,2021-12-01,1,P,<20,375000,2.75,93000,R,360,0,,4,53.4,165.0,2,1,45-54,3409531,0,0
706,2021-12-01,1,P,<20,375000,2.75,93000,R,360,0,,4,53.4,165.0,2,1,45-54,3409531,0,0
802,2021-08-01,1,P,43,315000,3.125,95600,P,360,0,,4,80.0,59.0,2,1,45-54,521241,0,0
796,2021-07-01,1,P,30-<36,475000,2.999,94500,R,360,0,,4,80.51,201.0,5,2,35-44,6101057,0,0
713,2021-08-01,1,P,30-<36,475000,2.999,94500,R,360,0,,4,80.51,201.0,5,2,35-44,6101057,0,0
801,2021-07-01,1,P,47,275000,2.75,90000,R,360,0,,4,32.64,64.0,5,1,65-74,2572288,0,0
751,2021-11-01,1,P,42,305000,2.5,75000,R,240,0,,4,70.243,115.0,5,1,35-44,7472883,0,0
787,2021-07-01,1,P,37,765000,2.5,94500,P,360,0,,4,71.36,143.0,2,1,25-34,4640438,0,0
795,2021-07-01,1,P,30-<36,455000,2.75,91000,R,360,0,,4,47.863,110.0,2,1,45-54,5446080,0,0
731,2021-12-01,1,P,30-<36,295000,2.625,95600,R,180,0,,4,77.0,94.0,5,2,45-54,58488,0,0
817,2021-11-01,1,P,<20,215000,2.875,94100,R,360,0,,4,21.5,75.0,6,2,65-74,2424671,0,0
710,2021-10-01,1,P,20-<30,155000,2.875,77300,R,180,0,,4,67.191,103.0,5,2,35-44,7852912,0,0
685,2021-10-01,1,P,20-<30,115000,2.25,92200,R,180,0,,4,42.321,81.0,6,2,35-44,6361707,0,0
761,2021-09-01,1,P,30-<36,225000,2.25,95400,R,180,0,,4,28.506,81.0,5,2,55-64,3769902,0,0
683,2021-11-01,1,P,44,345000,2.75,33400,P,360,0,,4,95.0,66.0,6,1,35-44,8033995,0,0
772,2021-08-01,1,P,39,495000,2.875,33000,P,360,0,,4,90.783,92.0,5,1,25-34,6232776,0,0
741,2021-08-01,1,P,44,615000,3.375,92600,R,360,0,,4,88.429,121.0,2,1,35-44,7263580,0,0
725,2021-12-01,1,P,41,175000,2.625,33400,R,180,0,,4,35.7,146.0,5,2,55-64,867433,0,0
793,2021-10-01,1,P,36,575000,3.0,91300,R,360,0,,4,67.43,169.0,5,2,55-64,4641252,0,0
774,2021-10-01,1,P,37,365000,2.875,90200,R,360,0,,4,89.122,109.0,3,2,25-34,5540803,0,0
798,2021-12-01,1,P,20-<30,165000,2.625,34200,R,360,0,,4,64.0,80.0,5,1,35-44,3020077,0,0
786,2021-12-01,1,P,44,525000,2.75,91900,R,360,0,,4,74.225,113.0,5,1,55-64,6147123,0,0
694,2021-10-01,1,P,39,335000,2.625,91300,R,180,0,,4,48.0,83.0,6,1,45-54,3029063,0,0
716,2021-10-01,1,P,46,285000,2.99,95600,R,360,0,,4,43.0,56.0,5,1,55-64,2377894,0,0
677,2021-08-01,1,P,43,245000,2.875,95600,R,360,0,,4,51.895,45.0,6,1,55-64,5252340,0,0
765,2021-08-01,1,P,44,315000,2.875,95800,P,360,1,2022-11-01,4,102.522,53.0,5,2,55-64,3193879,0,0
709,2021-07-01,1,P,41,285000,2.375,75000,R,180,0,,4,80.0,120.0,2,1,35-44,1278723,0,0
747,2021-09-01,1,P,37,365000,2.875,91300,R,360,0,,4,74.949,112.0,2,1,25-34,996643,0,0
729,2021-11-01,1,P,49,105000,2.75,12000,P,360,0,,4,54.712,30.0,5,2,45-54,3541577,0,0
727,2021-08-01,1,P,44,455000,3.25,91700,R,360,0,,4,57.692,152.0,2,2,35-44,6773799,0,0
763,2021-09-01,1,P,44,155000,2.99,32100,R,360,0,,4,73.8,50.0,5,2,25-34,2450883,0,0
713,2021-10-01,1,P,48,345000,2.75,92800,R,360,0,,4,59.31,58.0,2,1,35-44,6771225,0,0
741,2021-11-01,1,P,46,765000,2.875,92800,P,360,0,,4,90.0,166.0,5,1,35-44,3362826,0,0
738,2021-09-01,1,P,30-<36,125000,2.625,14600,R,180,0,,4,79.739,93.0,5,2,25-34,5183741,0,0
681,2021-11-01,1,P,30-<36,475000,2.875,90700,R,360,0,,4,70.0,151.0,6,1,25-34,7200088,0,0
788,2021-12-01,1,P,30-<36,475000,2.875,90700,R,360,0,,4,70.0,151.0,6,1,25-34,7200088,0,0
784,2021-12-01,1,P,<20,225000,2.75,95200,R,360,0,,4,34.729,132.0,5,1,55-64,6955385,0,0
771,2021-08-01,1,P,46,375000,2.625,92500,P,360,0,,4,80.0,57.0,6,2,25-34,4615005,0,0
782,2021-11-01,1,P,20-<30,415000,2.625,93000,R,240,0,,4,42.564,275.0,5,2,35-44,1962737,0,0
772,2021-10-01,1,P,20-<30,315000,2.75,34900,R,360,0,,4,84.68,107.0,5,1,25-34,5926476,0,0
646,2021-12-01,2,P,30-<36,415000,3.25,10300,R,360,0,,4,53.548,101.0,5,2,55-64,1191501,0,0
740,2021-10-01,1,P,38,425000,2.99,92000,R,360,0,,4,68.56,120.0,3,1,45-54,1884582,0,0
741,2021-12-01,1,P,30-<36,495000,2.75,78700,R,360,0,,4,50.404,302.0,2,1,45-54,940568,0,0
761,2021-10-01,1,P,20-<30,405000,3.375,11700,R,360,0,,4,69.565,199.0,5,1,35-44,119906,0,0
796,2021-11-01,1,P,<20,345000,2.5,77000,R,240,0,,4,73.305,286.0,6,2,45-54,6403020,0,0
789,2021-10-01,1,P,30-<36,225000,2.75,95100,R,360,0,,4,26.45,71.0,5,2,55-64,7858101,0,0
739,2021-10-01,1,P,37,355000,2.875,91300,R,360,0,,4,37.0,111.0,6,2,45-54,3011546,0,0
754,2021-12-01,1,P,43,175000,2.5,76000,R,180,0,,4,,281.0,5,2,65-74,5028157,0,0
