credit_score,first_payment_date,total_units,occupancy_type,debt_to_income_ratio,loan_amount,interest_rate,postal_code,loan_purpose,loan_term,defaulted,default_month,six_month_interval_label,loan_to_value_ratio,income,applicant_race,applicant_sex,applicant_age,hmda_index,defaulted_in_six_months,defaulted_in_one_year
798,2020-07-01,1,P,<20,125000,3.75,14200,R,360,0,,2,74.85,248.0,5,2,25-34,3596213,0,0
764,2020-12-01,1,P,20-<30,605000,3.625,92800,R,360,0,,2,73.212,190.0,5,1,55-64,4088421,0,0
752,2020-10-01,1,P,20-<30,75000,3.375,14200,R,180,0,,2,53.84,127.0,5,2,45-54,272399,0,0
704,2020-12-01,1,P,20-<30,75000,3.375,14200,R,180,0,,2,53.84,127.0,5,2,45-54,272399,0,0
754,2020-07-01,1,P,45,195000,3.875,75000,R,360,0,,2,73.0,107.0,5,2,45-54,5623368,0,0
782,2020-10-01,1,P,20-<30,235000,3.5,14100,R,360,0,,2,82.46,137.0,5,1,25-34,2026457,0,0
690,2020-08-01,1,P,20-<30,225000,3.99,92500,R,360,0,,2,64.143,93.0,5,2,35-44,3120735,0,0
727,2020-07-01,1,P,49,525000,3.625,90000,R,360,0,,2,75.0,92.0,5,1,35-44,1079363,0,0
794,2020-11-01,1,P,36,325000,3.5,95600,R,360,0,,2,69.0,91.0,3,1,55-64,2211067,0,0
813,2020-08-01,1,P,37,155000,3.875,76100,P,360,0,,2,96.5,40.0,2,1,35-44,5086697,0,0
700,2020-09-01,1,P,30-<36,295000,4.375,10900,R,360,0,,2,88.0,147.0,5,2,35-44,5677164,0,0
781,2020-07-01,1,P,49,235000,3.0,95600,R,360,0,,2,88.83,50.0,3,2,55-64,5032084,0,0
807,2020-09-01,1,P,<20,175000,3.75,95900,R,360,0,,2,73.314,106.0,6,1,<25,711284,0,0
771,2020-08-01,1,P,38,425000,3.375,90600,R,360,0,,2,88.73,90.0,2,2,25-34,6341710,0,0
673,2020-09-01,1,P,30-<36,135000,3.5,32900,R,180,0,,2,67.25,60.0,5,1,65-74,2791903,0,0
692,2020-09-01,1,P,20-<30,165000,3.75,33500,R,360,0,,2,63.798,101.0,5,1,25-34,1874919,0,0
768,2020-07-01,1,P,<20,395000,3.25,33400,R,360,0,,2,59.242,395.0,5,1,35-44,7341704,0,0
709,2020-10-01,1,P,36,675000,3.875,94500,R,360,0,,2,90.0,251.0,5,2,35-44,825831,0,0
746,2020-08-01,1,P,30-<36,595000,3.625,91200,R,360,0,,2,59.799,176.0,5,1,45-54,1070786,0,0
804,2020-09-01,1,P,20-<30,495000,2.875,92600,R,180,0,,2,35.0,243.0,5,1,45-54,6924404,0,0
677,2020-08-01,1,P,44,445000,3.625,92500,R,360,0,,2,80.0,87.0,6,1,55-64,4657297,0,0
705,2020-10-01,1,P,41,395000,3.625,90200,R,360,0,,2,50.318,100.0,2,1,25-34,4343668,0,0
785,2020-09-01,1,P,43,235000,3.25,33400,R,180,0,,2,50.538,113.0,5,2,65-74,2422775,0,0
743,2020-07-01,1,P,20-<30,175000,3.875,78600,P,360,0,,2,68.69,60.0,5,1,65-74,2015975,0,0
730,2020-12-01,1,P,47,425000,3.375,11200,R,360,0,,2,53.125,70.0,2,2,45-54,1067603,0,0
730,2020-07-01,1,P,30-<36,765000,4.0,95100,R,360,0,,2,79.0,253.0,2,2,25-34,7308889,0,0
735,2020-08-01,1,P,37,485000,3.125,94900,R,360,0,,2,68.98,134.0,5,1,35-44,2936791,0,0
796,2020-09-01,1,P,20-<30,375000,3.25,94500,P,360,0,,2,75.0,120.0,5,1,25-34,1094347,0,0
769,2020-07-01,1,P,38,385000,3.25,78200,P,360,0,,2,100.0,147.0,5,1,45-54,3822805,0,0
686,2020-12-01,1,P,43,395000,3.625,92500,R,360,0,,2,79.76,116.0,3,1,55-64,1470661,0,0
